"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"64","Disney Lilo &amp; Stitch Stitch Day Ohana Means Family T-Shirt","http://www.amazon.com//dp/B08CBKWY9D","Visit the Disney Store","1","83","$22.99","Clothing, Shoes &amp; Jewelry","83,409","18","$414","468 ","4.8","-"
"65","Disney Robin Hood Oo-De-Lally Iconic Quote Chest Text Logo T-Shirt","http://www.amazon.com//dp/B0D6WRY5M2","Visit the Disney Store","1","259","$22.99","Clothing, Shoes &amp; Jewelry","124,488","17","$391","14 ","4.3","-"
"66","Cars - Lightning McQueen Racing Tee T-Shirt","http://www.amazon.com//dp/B0DZD58JHR","Visit the Disney Store","1","359","$22.99","Clothing, Shoes &amp; Jewelry","126,311","17","$391","9 ","4.8","-"
"67","Life is Good Women's Crusher Tee Shirt, Short Sleeve Cotton Graphic T-Shirts, Floral Jars","http://www.amazon.com//dp/B07ZGB3SCM","Visit the Life is Good Store","1","1","$20.20","Clothing, Shoes &amp; Jewelry","31,774","25","$505","600 ","4.7","-"
"68","Star Wars - Ship Flag Americana T-Shirt","http://www.amazon.com//dp/B0DQF6CN88","Visit the STAR WARS Store","1","152","$22.99","Clothing, Shoes &amp; Jewelry","197,705","16","$368","5 ","4.5","-"
"69","Disney Stitch Retro ’90s Couples Matching I’m Her Stitch T-Shirt","http://www.amazon.com//dp/B0DHHZRSHS","Visit the Disney Store","1","516","$22.99","Clothing, Shoes &amp; Jewelry","130,303","17","$391","39 ","4.6","-"
"70","Disney Moana 2 Pua and Heihei Boat Snack Upgrade Funny T-Shirt","http://www.amazon.com//dp/B0DNTZP9R3","Visit the Disney Store","1","470","$22.99","Clothing, Shoes &amp; Jewelry","205,951","16","$368","10 ","4.8","-"
"71","Winnie The Pooh - Pooh Eeyore Piglet Tigger Kanga Roo Hug T-Shirt","http://www.amazon.com//dp/B0D155CDKH","Visit the Disney Store","1","326","$22.99","Clothing, Shoes &amp; Jewelry","137,187","16","$368","28 ","4.4","-"
"72","Costa Del Ma mens Classic Emblem Tee","http://www.amazon.com//dp/B0CRBNJCZZ","Visit the Costa Del Ma Store","1","1","$20.00","Clothing, Shoes &amp; Jewelry","137,153","16","$320","52 ","4.0","-"
"73","Columbia Men's Terminal Tackle Short","http://www.amazon.com//dp/B07DQ9S3S1","Visit the Columbia Store","1","354","$45.00","Clothing, Shoes &amp; Jewelry","1,764","558","$25,110","4 ","4.6","-"
"74","Ariat Men's Rebar Cotton Strong Graphic T-Shirt","http://www.amazon.com//dp/B08KHTWRJY","Visit the ARIAT Store","1","1","$28.95","Clothing, Shoes &amp; Jewelry","52,311","20","$579","972 ","4.6","-"
"75","Hello Kitty American Flag Tee Shirt T-Shirt","http://www.amazon.com//dp/B07CG8MPVF","Visit the Hello Kitty Store","1","417","$19.99","Clothing, Shoes &amp; Jewelry","171,090","16","$320","138 ","4.8","-"
"76","Disney Moana Maui Confident Pose You're Welcome Retro Logo T-Shirt","http://www.amazon.com//dp/B0CTSC28L6","Visit the Disney Store","1","274","$22.99","Clothing, Shoes &amp; Jewelry","141,355","16","$368","42 ","4.4","-"
"77","Columbia Mens Terminal Tackkle-Hoodie","http://www.amazon.com//dp/B07DQHNCHF","Visit the Columbia Store","1","254","$45.00","Clothing, Shoes &amp; Jewelry","3,236","308","$13,860","6,775 ","4.7","-"
"78","Pokémon - Mewtwo Grunge Oversized T-Shirt","http://www.amazon.com//dp/B0F2W2M1C6","Visit the Pokemon Store","1","175","$22.99","Clothing, Shoes &amp; Jewelry","146,916","16","$368","2 ","5.0","-"
"79","Pokemon Unisex Adult Pikachu Pokeball Pattern T-Shirt, Black, Small","http://www.amazon.com//dp/B0CB1T3K4W","Visit the Pokemon Store","1","31","$22.99","Clothing, Shoes &amp; Jewelry","147,295","16","$368","60 ","4.9","-"
"80","Disney Lilo &amp; Stitch with Scrump Big Shiny Birthday Crew T-Shirt","http://www.amazon.com//dp/B0CKJB1KXX","Visit the Disney Store","1","615","$22.99","Clothing, Shoes &amp; Jewelry","77,534","18","$414","75 ","4.5","-"
"81","Disney Pixar Inside Out 2 Feel All Your Emotions Vintage T-Shirt","http://www.amazon.com//dp/B0D2YB4W9P","Visit the Disney Store","1","263","$22.99","Clothing, Shoes &amp; Jewelry","126,908","17","$391","173 ","4.7","-"
"82","Disney Snow White I'm Grumpy Deal With It Portrait T-Shirt","http://www.amazon.com//dp/B07RB7X86C","Visit the Disney Store","1","160","$22.99","Clothing, Shoes &amp; Jewelry","83,675","18","$414","3,487 ","4.7","-"
"83","Disney Stitch Retro ’90s Couples Matching I’m His Angel T-Shirt","http://www.amazon.com//dp/B0DHJBNKDK","Visit the Disney Store","1","496","$22.99","Clothing, Shoes &amp; Jewelry","140,760","16","$368","28 ","4.7","-"
"84","Wicked Unisex-Kids Movie Tie-In T-Shirt, Black, Small, Short Sleeve, Crew Neck, Tonal Effect Movie Design","http://www.amazon.com//dp/B0DHYKC62V","Visit the wicked Store","1","209","$22.99","Clothing, Shoes &amp; Jewelry","76,447","18","$414","368 ","4.6","-"
"85","Disney Mickey Mouse Cowboy Costume Western Vintage Look T-Shirt","http://www.amazon.com//dp/B0F3FQ2VF7","Visit the Disney Store","1","619","$22.99","Clothing, Shoes &amp; Jewelry","147,369","16","$368","3 ","5.0","-"
"86","Disney A Goofy Movie Powerline Tour '95 Retro Neon Poster T-Shirt","http://www.amazon.com//dp/B08HTD57YC","Visit the Disney Store","1","159","$22.99","Clothing, Shoes &amp; Jewelry","116,073","17","$391","503 ","4.8","-"
"87","Disney A Goofy Movie Powerline Stand Out World Tour '95 T-Shirt","http://www.amazon.com//dp/B08HTLZQKR","Visit the Disney Store","1","83","$22.99","Clothing, Shoes &amp; Jewelry","110,087","17","$391","300 ","4.7","-"
"88","Disney Winnie the Pooh Cute Group Shot Sketch Chest Logo T-Shirt","http://www.amazon.com//dp/B0DDRNHBKF","Visit the Disney Store","1","240","$22.99","Clothing, Shoes &amp; Jewelry","193,630","16","$368","22 ","4.4","-"
"89","Disney Mickey And Friends Goofy Big Face Vintage Portrait T-Shirt","http://www.amazon.com//dp/B08228BNQB","Visit the Disney Store","1","267","$22.99","Clothing, Shoes &amp; Jewelry","105,922","17","$391","383 ","4.7","-"
"90","Disney Mickey Mouse and Friends Short Sleeve T-Shirt","http://www.amazon.com//dp/B07P6BSW79","Visit the Disney Store","1","220","$22.99","Clothing, Shoes &amp; Jewelry","103,355","17","$391","901 ","4.6","-"
"91","Hello Kitty Nerd Glasses T-Shirt","http://www.amazon.com//dp/B09RSLH2DZ","Visit the Hello Kitty Store","1","38","$19.99","Clothing, Shoes &amp; Jewelry","97,954","17","$340","253 ","4.6","-"
"92","Disney mens Classic Disney Mickey And Friends Mickey Mouse Est 1928 Simple Text T Shirt, Blue, Small US","http://www.amazon.com//dp/B0823GNRY6","Visit the Disney Store","1","82","$22.99","Clothing, Shoes &amp; Jewelry","195,321","16","$368","450 ","4.7","-"
"93","Paw Patrol Father's Day Dad Patrol T-Shirt","http://www.amazon.com//dp/B0D6C2M11W","Visit the Paw Patrol Store","1","1","$22.97","Clothing, Shoes &amp; Jewelry","112,860","17","$390","46 ","4.4","-"
"94","Disney Lilo &amp; Stitch Cute Angel &amp; Stitch Hugging Chest Logo T-Shirt","http://www.amazon.com//dp/B0D3674215","Visit the Disney Store","1","222","$22.99","Clothing, Shoes &amp; Jewelry","112,788","17","$391","35 ","4.7","-"
"95","Disney Pixar Toy Story Buzz Lightyear Retro Comic Book T-Shirt","http://www.amazon.com//dp/B07JMFBB23","Visit the Disney Store","1","240","$22.99","Clothing, Shoes &amp; Jewelry","121,258","17","$391","644 ","4.8","-"
"96","Disney Mickey And Friends Moods Of Donald Duck Short Sleeve T-Shirt","http://www.amazon.com//dp/B0853X9Q6X","Visit the Disney Store","1","158","$22.99","Clothing, Shoes &amp; Jewelry","94,072","17","$391","630 ","4.7","-"
"97","Disney Phineas and Ferb Character Collage T-Shirt","http://www.amazon.com//dp/B0F3DV5YBG","Visit the Disney Store","1","599","$22.99","Clothing, Shoes &amp; Jewelry","136,713","16","$368","3 ","4.6","-"
"98","Winnie The Pooh - Hundred Acre Wood Pooh Organic Honey T-Shirt","http://www.amazon.com//dp/B0D15QGLHS","Visit the Disney Store","1","225","$22.99","Clothing, Shoes &amp; Jewelry","163,779","16","$368","28 ","4.7","-"
"99","Amazon Essentials Women's Regular-Fit 3/4 Sleeve V-Neck T-Shirt (Available in Plus Size), Multipacks","http://www.amazon.com//dp/B08XQZYK68","Visit the Amazon Essentials Store","1","1","$12.40","Our Brands","750","-","-","10,550 ","4.2","-"
"101","Disney Lilo &amp; Stitch Aloha Hawaii Come Visit The Islands T-Shirt","http://www.amazon.com//dp/B08699ZTR1","Visit the Disney Store","1","220","$22.99","Clothing, Shoes &amp; Jewelry","109,065","17","$391","653 ","4.6","-"
"102","Disney Pixar Cars Lightning McQueen Big Face Short Sleeve T-Shirt","http://www.amazon.com//dp/B082X81R6P","Visit the Disney Store","1","1","$22.99","Clothing, Shoes &amp; Jewelry","60,543","19","$437","747 ","4.6","-"
